"","treatN","p","tot_gr","bl_gr","w_gr"
"1",1,0.1,2,0,0
"2",2,0.1,3,1,0
"3",3,0.1,3,0,1
"4",4,0.1,3,1,1
"5",5,0.1,5,1,0
"6",6,0.1,5,0,1
"7",7,0.1,5,1,1
"8",8,0.2,2,0,0
"9",9,0.2,3,1,0
"10",10,0.2,3,0,1
"11",11,0.2,3,1,1
"12",12,0.2,5,1,0
"13",13,0.2,5,0,1
"14",14,0.2,5,1,1
"15",15,0.3,2,0,0
"16",16,0.3,3,1,0
"17",17,0.3,3,0,1
"18",18,0.3,3,1,1
"19",19,0.3,5,1,0
"20",20,0.3,5,0,1
"21",21,0.3,5,1,1
"22",22,0.5,2,0,0
"23",23,0.5,3,1,0
"24",24,0.5,3,0,1
"25",25,0.5,3,1,1
"26",26,0.5,5,1,0
"27",27,0.5,5,0,1
"28",28,0.5,5,1,1
