snames,belong,p,tot_gr,bl_gr,w_gr
1,2,0.1,2,0,0
2,2,0.1,3,1,0
3,2,0.1,3,0,1
4,2,0.1,3,1,1
5,2,0.1,5,1,0
6,2,0.1,5,0,1
7,2,0.1,5,1,1
8,2,0.2,2,0,0
9,2,0.2,3,1,0
10,2,0.2,3,0,1
11,2,0.2,3,1,1
12,2,0.2,5,1,0
13,2,0.2,5,0,1
14,2,0.2,5,1,1
15,2,0.3,2,0,0
16,2,0.3,3,1,0
17,2,0.3,3,0,1
18,2,0.3,3,1,1
19,2,0.3,5,1,0
20,2,0.3,5,0,1
21,2,0.3,5,1,1
22,2,0.5,2,0,0
23,2,0.5,3,1,0
24,2,0.5,3,0,1
25,2,0.5,3,1,1
26,2,0.5,5,1,0
27,2,0.5,5,0,1
28,2,0.5,5,1,1
29,2,0.1,7,2,0
30,2,0.1,7,0,2
31,2,0.1,7,1,1
32,2,0.2,7,2,0
33,2,0.2,7,0,2
34,2,0.2,7,1,1
35,2,0.3,7,2,0
36,2,0.3,7,0,2
37,2,0.3,7,1,1
38,2,0.5,7,2,0
39,2,0.5,7,0,2
40,2,0.5,7,1,1
41,2,0.1,2,1,0
42,2,0.1,2,0,1
43,2,0.2,2,1,0
44,2,0.2,2,0,1
45,2,0.3,2,1,0
46,2,0.3,2,0,1
47,2,0.5,2,1,0
48,2,0.5,2,0,1
